a,0
aire,agua
20,14
30,22
40,28
50,35
60,40
70,44
end,0
b,0
aire,mysteryA
20,7
30,12
40,15
50,17
60,21
70,23
end,0
c,0
vidrio,mysteryB
20,20
30,31
40,43
50,55
60,67
65,76
end,0
